"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Fzd7",7.07766,7.01472,6.94612,6.84092,6.86549,6.68702
"Gm973",4.63306,4.54735,4.7203,4.66698,4.59963,4.59766
"Nop58",6.63448,6.74201,6.83739,6.88639,7.08722,7.14324
"Bmpr2",8.41219,8.33716,8.2694,8.33012,8.40729,8.44154
"Fam117b",6.54692,6.37948,6.59274,6.52113,6.74476,6.53212
"Carf",5.32576,5.27289,5.27425,5.42099,5.3957,5.33703
"Nbeal1",7.61102,7.56172,7.67329,7.62184,7.43084,7.84049
"Nbeal1",7.45707,7.34368,7.3731,7.41613,7.3878,7.42188
"Cyp20a1",6.57503,6.74548,6.54759,6.6731,6.51811,6.63497
"Abi2",5.5969,5.5592,5.58327,5.49252,5.48006,5.608
"Eif4a1",10.4056,10.4584,10.5003,10.4412,10.401,10.4477
"Cd28",3.96509,3.6658,4.07664,4.04143,3.99841,4.19803
"Ctla4",4.44553,3.84128,4.17302,4.39293,4.29578,4.08565
"Icos",5.05583,5.32888,4.90909,5.04335,4.95684,4.84249
"Rpl17",9.16277,9.29636,9.24436,9.28441,9.17072,9.36038
"Pard3b",6.28028,5.66405,6.32547,6.43497,6.24831,6.03124
"Pard3b",5.78237,5.48695,5.53722,5.56807,5.69727,5.62926
"Nrp2",6.22644,6.29604,6.73759,6.94835,6.74434,6.97022
"Eef1b2",8.92783,8.96423,9.03007,9.03316,8.97271,8.95397
"Snora41",4.44901,4.6211,4.6472,4.17773,4.70804,4.62921
"Zdbf2",4.46208,4.17802,4.15611,4.38085,4.25276,4.11384
"Adam23",7.07801,7.15062,7.27439,7.07139,7.14827,7.1342
"Fastkd2",6.37958,6.35457,6.485,6.41418,6.45424,6.68121
"Gm13749",2.52332,2.54021,2.43611,2.74325,2.78668,2.81159
"Creb1",7.03053,6.94859,6.79007,6.8807,6.7297,7.0551
"Ccnyl1",4.72601,4.85787,4.76452,4.85473,4.82842,4.82087
"Pikfyve",7.04484,7.1451,7.01015,7.14834,7.14551,7.22599
"Pth2r",4.3637,4.12229,4.0513,4.32357,4.14588,4.15624
"Crygf",3.70584,3.70822,3.53343,3.83362,3.71011,3.59091
"Map2",4.62011,4.69531,4.67413,4.73683,4.52741,4.62414
"Unc80",5.04769,5.07752,5.15095,5.17129,5.21252,5.03007
"Unc80",4.53325,4.87014,5.12461,4.83245,4.79992,4.86157
"Rpe",7.55983,7.62492,7.581,7.60366,7.57655,7.76575
"Cps1",12.8931,13.0932,13.047,12.9387,12.8734,12.9136
"Spag16",3.16574,3.11453,3.22351,3.19592,3.21463,2.94897
"Vwc2l",4.45836,4.52072,4.14264,4.07757,4.12146,4.13309
"Atic",7.79632,7.84082,7.89174,7.86254,7.94407,7.91007
"Rpl21",9.87138,10.0548,10.0356,9.97576,10.0109,10.2134
"Rnu2-10",9.12324,9.55229,9.50167,9.34771,9.46794,9.80441
"Rnu2-10",9.27281,9.71813,9.59295,9.46183,9.61469,9.92653
"Rnu2-10",9.12324,9.55229,9.50167,9.34771,9.46794,9.80441
"Tmem169",5.23419,5.13144,5.23896,5.34836,4.95739,4.99765
"Xrcc5",7.54191,7.66558,7.64117,7.66319,7.57115,7.69614
"Smarcal1",6.38434,6.39126,6.50427,6.5602,6.42843,6.46308
"Mir682",9.31689,9.16881,9.32799,9.27609,9.43853,9.45208
"Igfbp2",10.9624,10.8422,10.8437,10.6404,10.8714,10.6533
"Rufy4",5.1711,5.33537,5.31178,5.41025,5.3048,5.1242
"Cxcr2",2.83149,2.59658,2.83149,2.624,3.06615,3.00451
"Arpc2",9.74523,9.72185,9.71187,9.75399,9.75455,9.72956
"Gpbar1",6.53066,6.42523,6.41987,6.47352,6.42519,6.47965
"Pnkd",8.08263,8.01477,7.95889,8.14394,8.15341,8.13062
"Catip",4.80911,4.56873,4.60459,4.70614,4.68028,4.65989
"Slc11a1",6.21562,5.93879,6.23589,6.34575,6.22413,6.18244
"Ctdsp1",8.55403,8.36921,8.49274,8.50998,8.55687,8.62195
"Mir26b",5.86516,5.70129,5.74124,5.89784,5.64774,5.66735
"Vil1",4.74339,4.71916,4.66724,4.85967,4.62612,4.7532
"Rqcd1",6.82927,6.85955,6.73409,6.81821,6.77893,6.78921
"Zfp142",4.45598,4.23655,4.42154,4.22811,4.46986,4.33435
"Bcs1l",6.92958,7.07564,6.93578,7.14715,7.12627,7.30866
"Stk36",5.63914,5.58143,5.45288,5.66489,5.80702,5.75731
"Ttll4",7.31631,7.31532,7.36014,7.34924,7.40302,7.56604
"Cyp27a1",11.1847,11.3992,11.4251,11.3524,11.3669,11.4098
"Wnt6",6.10601,6.00822,6.24506,6.1863,6.08036,6.09985
"Wnt10a",5.73426,5.44351,5.94345,6.01863,6.12405,5.55241
"Cdk5r2",6.59406,6.33783,6.81003,6.74633,6.61079,6.26916
"Fam134a",8.80593,8.75617,8.68803,8.72334,8.77171,8.88532
"Zfand2b",7.25375,7.29303,7.17623,7.18165,7.30887,7.1073
"Ankzf1",6.94171,6.97691,7.08878,6.89996,6.76063,6.83362
"Tuba4a",8.84049,8.68812,8.74845,8.78409,8.86505,8.81182
"Dnajb2",6.52125,6.53689,6.58558,6.54461,6.52401,6.51486
"Des",5.37133,5.26892,5.35225,5.3302,5.27815,5.12162
"Speg",5.22851,5.38702,5.14888,5.31625,5.09205,5.23215
"Gmppa",7.06135,7.285,7.26263,7.19438,7.22043,7.44934
"Asic4",5.64498,5.58566,5.65202,5.66764,5.57294,5.55944
"Tmem198",5.08917,5.22394,5.14779,4.8877,5.24072,4.87108
"Inha",5.08735,4.76362,5.15585,5.04236,5.19799,4.85337
"Stk11ip",6.21669,6.33462,6.17596,6.27696,6.09972,6.30667
"Slc4a3",5.80443,5.80453,5.9672,6.05782,5.89748,5.70389
"Sgpp2",5.86552,5.78861,5.94653,5.89757,5.92204,5.74263
"Mogat1",4.66877,4.63321,5.15492,5.01922,4.92407,4.8985
"Utp14b",6.32195,6.46818,6.4923,6.29208,6.79973,6.45336
"Kcne4",4.92492,4.79322,4.84905,4.93109,4.81978,4.68762
"Mrpl44",7.91721,7.95249,7.98761,7.83594,7.95391,7.97747
"Nyap2",4.63922,4.78428,4.69912,4.70018,4.80141,4.71782
"AK089594",3.53695,3.20537,3.43927,3.53255,3.37329,3.35578
"Rhbdd1",7.08772,7.14422,7.19142,7.07499,7.02469,7.07991
"Col4a3",5.8283,5.88787,5.79403,5.83578,5.68753,5.73957
"Mff",7.99258,7.94683,7.90347,7.9045,7.89124,7.88165
"Agfg1",8.40471,8.35729,8.24753,8.31887,8.2047,8.4525
"Ccl20",5.28277,5.1981,5.25838,5.06684,5.01845,5.23779
"Daw1",3.40708,3.10963,3.40575,3.18075,3.1481,2.90506
"Fbxo36",7.17237,7.87978,7.59538,7.38003,7.50644,7.65485
"Gm7609",5.41402,5.60495,5.59551,5.78597,5.58761,5.61415
"Rpl19",10.5758,10.704,10.7934,10.7359,10.7949,10.8336
"A530040E14Rik",4.23894,3.72547,4.53173,4.15868,4.20998,3.90878
"Gm7609",5.41402,5.60495,5.57894,5.77216,5.58761,5.61415
"Sp110",3.83865,3.88996,3.75287,3.43494,3.64569,3.4773
"G530012D18Rik",4.01105,3.74919,3.73015,3.86347,4.01776,3.91602
"C130026I21Rik",5.29495,5.32348,5.0911,5.37013,5.16837,5.69407
"Sp100",5.85617,5.65908,5.70432,5.6482,5.631,5.97722
"Cab39",8.40256,8.33759,8.40556,8.35147,7.99894,8.54046
"Itm2c",7.16252,7.16528,7.19752,7.28198,7.21179,7.1535
"Spata3",3.9739,4.01883,4.02264,3.91551,3.92578,3.9011
"Psmd1",9.91755,9.88491,10.0545,9.98245,10.0732,9.97175
"Armc9",5.35835,5.25851,5.27935,5.17886,5.39269,5.351
"B3gnt7",6.28574,6.2046,6.27889,6.34973,6.43695,6.13469
"C130036L24Rik",6.76671,6.727,6.53888,6.7531,6.84847,6.41214
"Ptma",9.70076,9.63964,9.67388,9.88302,9.88877,9.79775
